91,1,744,1,744,28,91,28
91,27,704,27,704,55,91,55
90,54,752,54,752,80,90,80
90,78,196,78,196,106,90,106
92,121,770,121,770,150,92,150
92,148,760,148,760,176,92,176
91,173,250,173,250,202,91,202
93,223,117,223,117,241,93,241
113,218,720,218,720,246,113,246
90,243,724,243,724,272,90,272
89,267,740,267,740,299,89,299
90,296,148,296,148,320,90,320
92,340,306,340,306,364,92,364
93,421,295,421,295,459,93,459
109,486,230,486,230,512,109,512
274,490,383,490,383,511,274,511
425,486,526,486,526,512,425,512
571,491,675,491,675,509,571,509
112,548,253,548,253,574,112,574
