50,12,110,12,110,36,50,36
148,12,232,12,232,36,148,36
269,11,326,11,326,39,269,39
364,12,442,12,442,36,364,36
480,12,616,12,616,37,480,37
633,9,744,9,744,38,633,38
780,12,912,12,912,38,780,38
0,71,1023,71,1023,109,0,109
0,116,1001,116,1001,149,0,149
0,156,102,156,102,188,0,188
112,158,200,158,200,184,112,184
0,249,115,249,115,287,0,287
58,300,602,300,602,330,58,330
0,341,848,341,848,371,0,371
6,381,607,381,607,413,6,413
0,425,444,425,444,452,0,452
0,466,638,466,638,490,0,490
0,570,1031,570,1031,606,0,606
0,616,54,616,54,646,0,646
104,615,996,615,996,644,104,644
0,655,685,655,685,691,0,691
0,735,1029,735,1029,774,0,774
0,779,805,779,805,816,0,816
933,10,984,17,981,38,930,31
-1,299,61,307,58,331,-3,324
55,612,106,620,101,647,50,639
