6,0,549,0,549,26,6,26
6,30,470,30,470,56,6,56
521,33,549,33,549,53,521,53
4,60,368,60,368,88,4,88
374,62,548,62,548,86,374,86
3,90,549,90,549,119,3,119
4,124,464,124,464,150,4,150
470,124,549,124,549,148,470,148
4,154,549,154,549,182,4,182
4,186,546,186,546,214,4,214
2,216,549,216,549,245,2,245
4,248,224,248,224,274,4,274
230,246,549,246,549,274,230,274
4,280,146,280,146,304,4,304
167,278,548,278,548,307,167,307
4,310,548,310,548,338,4,338
4,342,406,342,406,366,4,366
7,397,65,397,65,417,7,417
76,391,536,391,536,422,76,422
6,424,268,424,268,452,6,452
280,426,549,426,549,452,280,452
6,456,218,456,218,480,6,480
226,456,544,456,544,484,226,484
4,487,549,487,549,515,4,515
4,516,262,516,262,544,4,544
268,517,549,517,549,545,268,545
4,549,548,549,548,579,4,579
2,580,549,580,549,608,2,608
4,611,538,611,538,639,4,639
4,644,549,644,549,668,4,668
468,27,521,35,518,59,465,51
